year,car name,transmission,sun roof,auto retract mirror,electric parking brake,vehicle stability control,auto cruise control,price (Rp)
2018,26,1,0,0,0,0,0,101000000
2015,10,1,0,0,0,0,0,82000000
2019,5,1,0,0,0,0,0,117000000
2021,19,1,0,1,0,0,0,180000000
2022,20,1,0,1,0,0,0,211000000
2019,36,1,0,0,0,0,0,140000000
2018,7,1,0,0,0,0,0,117000000
2019,23,1,0,0,0,0,0,114000000
2019,23,1,0,0,0,0,0,110000000
2019,7,1,0,0,0,0,0,118000000
2015,136,1,0,1,0,0,0,141000000
2018,7,1,0,0,0,0,0,117000000
2018,99,1,0,0,0,0,0,155000000
2018,23,1,0,0,0,0,0,108000000
2017,23,1,0,0,0,0,0,105500000
2018,23,1,0,0,0,0,0,111000000
2022,62,1,0,0,0,0,0,190000000
2019,23,1,0,0,0,0,0,114000000
2020,45,1,0,0,0,0,0,101500000
2018,36,1,0,0,0,0,0,135000000
2019,134,1,0,1,0,1,0,193000000
2015,19,1,0,0,0,0,0,127000000
2016,25,1,0,0,0,0,0,89000000
2020,7,1,0,0,0,0,0,123000000
2019,26,1,0,0,0,0,0,107000000
2020,39,1,0,1,0,0,0,133000000
2019,36,1,0,0,0,0,0,142000000
2016,19,1,0,0,0,0,0,143000000
2018,81,1,0,0,0,0,0,111500000
2019,134,1,0,1,0,0,0,193000000
2019,7,1,0,0,0,0,0,122000000
2017,81,1,0,0,0,0,0,110000000
2022,9,1,0,1,0,0,0,143000000
2020,23,1,0,0,0,0,0,123000000
2014,99,1,0,0,0,0,0,127000000
2018,23,1,0,0,0,0,0,106000000
2020,36,1,0,0,0,0,0,147000000
2019,62,1,0,0,0,0,0,163000000
2017,4,1,0,0,0,0,0,99000000
2021,82,1,0,1,0,0,0,148000000
2019,46,1,0,0,0,0,0,104000000
2019,25,1,0,0,0,0,0,100000000
2019,23,1,0,0,0,0,0,117000000
2014,4,1,0,0,0,0,0,87000000
2019,28,1,0,1,0,0,0,160000000
2018,24,1,0,0,0,0,0,114000000
2018,25,1,0,0,0,0,0,100000000
2015,137,1,0,0,0,0,0,148000000
2019,36,1,0,0,0,0,0,142000000
2017,27,1,0,0,0,0,0,96000000
2018,24,1,0,0,0,0,0,116000000
2016,99,1,0,0,0,0,0,136000000
2019,145,1,0,1,0,0,0,160000000
2020,25,1,0,0,0,0,0,100000000
2018,113,1,0,1,0,1,0,201000000
2020,146,1,0,0,0,0,0,163000000
2019,23,1,0,0,0,0,0,115000000
2016,61,1,0,0,0,0,0,129000000
2019,23,1,0,0,0,0,0,117000000
2019,24,1,0,0,0,0,0,115000000
2016,4,1,0,0,0,0,0,95000000
2017,25,1,0,0,0,0,0,93000000
2018,25,1,0,0,0,0,0,98000000
2019,39,1,0,0,0,0,0,124000000
2019,152,1,0,1,0,0,0,198000000
2019,81,1,0,0,0,0,0,119000000
2017,28,1,0,1,0,0,0,152000000
2017,6,1,0,0,0,0,0,105000000
2018,23,1,0,0,0,0,0,113000000
2018,134,1,0,1,0,1,0,194000000
2019,138,1,0,0,0,0,0,192000000
2018,7,1,0,0,0,0,0,120000000
2018,7,1,0,0,0,0,0,121000000
2019,116,1,0,1,0,0,0,213000000
2017,63,1,0,1,0,0,0,149000000
2020,48,1,0,1,0,0,0,127000000
2019,122,1,0,0,0,0,0,102000000
2018,138,1,0,0,0,0,0,185000000
2022,5,1,0,1,0,0,0,136000000
2010,89,1,0,0,0,0,0,129000000
2017,125,1,0,0,0,0,0,98000000
2016,39,1,0,0,0,0,0,101000000
2018,126,1,0,0,0,0,0,101000000
2017,71,1,0,0,0,0,0,77000000
2021,110,1,0,1,0,1,0,189000000
2012,147,1,0,0,0,0,0,102000000
2018,63,1,0,0,0,0,0,157000000
2016,21,1,0,0,0,0,0,139000000
2019,65,1,0,1,0,0,0,186000000
2017,63,1,0,1,0,0,0,154000000
2014,36,1,0,0,0,0,0,106000000
2019,65,1,0,1,0,0,0,187000000
2019,47,1,0,1,0,0,0,119000000
2018,152,1,0,1,0,0,0,191000000
2017,82,1,0,1,0,0,0,120000000
2015,74,1,0,0,0,0,0,116000000
2018,46,1,0,0,0,0,0,105000000
2019,19,1,0,1,0,0,0,177000000
